exr,infr
86.00,10.2
86.00,9.8
86.97,9.3
90.00,8.3
94.88,7.6
94.88,7.2
94.88,7.2
94.88,7.2
94.88,7.2
94.90,7.5
96.45,7.7
97.60,7.9
98.78,8.3
99.91,8.8
100.93,9.4
100.38,9.9
101.15,10.5
101.83,10.6
105.33,10.2
102.88,9.6
102.36,9.2
102.48,8.5
102.52,7.6
106.71,6.6
110.50,5.2
110.71,3.9
110.66,2.7
113.70,1.8
113.57,1.1
112.48,0.9
111.85,1.2
111.70,2.2
111.60,3.3
111.60,4.5
111.99,5.8
112.99,6.9
113.96,8.6
114.28,10.3
116.04,11.9
116.13,13.9
116.55,15.7
118.49,16.6
123.72,17.7
125.75,18.1
126.45,18.4
126.56,18.6
126.83,18.7
126.88,18.9
127.07,18.9
127.32,18.9
127.16,18.8
127.37,17.9
127.67,16.8
127.83,16.4
127.77,16.2
127.90,15.6
128.58,14.8
129.79,13.6
136.61,13.2
137.22,12.9
136.08,12.3
135.16,11.4
134.43,10.5
133.51,10.1
133.01,10
132.75,10.1
132.80,10
132.83,10
132.84,10.7
132.86,12.3
132.87,13
132.86,14
132.86,15
132.85,16.5
132.85,17.8
132.85,18.5
132.82,19.4
132.87,19.4
132.87,19.1
133.23,19.1
130.81,18.2
130.84,17.1
130.63,16.1
130.29,15
130.29,14
129.59,12.9
128.70,12.5
128.47,12.6
128.45,12.5
128.45,12.9
128.38,14.2
128.33,15.5
128.29,16.8
128.28,17.4
128.29,17.8
128.29,17.9
128.28,17.9
128.27,17.8
128.15,17.4
127.98,16.9
127.56,16.4
127.41,15.5
127.19,13.5
126.68,11.4
125.88,10
124.28,9
120.12,8.5
118.21,8.2
117.98,8
118.21,7.7
117.92,7.2
117.87,6.5
117.83,6
117.81,5.9
117.77,6
117.74,6.1
117.73,5.9
117.72,5.7
117.74,5.5
126.48,5.4
145.78,5.5
147.14,5.5
147.72,5.8
147.23,6.1
147.84,6.5
148.20,7
148.59,7.8
151.86,8.5
152.30,9.2
149.36,10.1
150.85,10.9
149.69,11.6
149.78,12
150.22,12.6
149.83,13.1
149.89,13.5
150.31,13.8
150.19,13.7
150.10,13.4
150.27,13.3
151.03,13.1
151.25,12.8
150.22,12.6
150.48,12.5
151.55,12.6
151.94,12.7
152.51,12.8
153.97,12.9
154.80,12.9
154.50,13.1
151.86,13.3
152.72,13.5
155.26,13.8
153.26,13.9
155.77,13.9
158.21,13.7
158.39,13.5
157.87,13.2
157.59,13
157.33,12.7
157.28,12.6
157.44,12.3
157.43,12
157.38,11.6
157.34,11.4
157.32,11.1
157.31,11
157.32,10.8
157.30,10.9
157.30,11
157.31,10.9
157.31,11.1
157.30,11.1
157.31,11.3
157.32,11.6
157.31,11.8
157.32,11.9
157.42,11.9
157.27,12.1
157.27,12.2
157.29,11.9
157.31,11.7
157.30,11.4
157.29,11.1
157.29,10.8
157.29,10.4
157.29,10
157.29,9.8
157.30,9.5
157.31,9.2
160.00,8.8
169.68,8.5
169.68,8.4
179.74,8.3
197.07,8.2
197.00,8.1
197.00,8
196.92,8
196.97,8
197.00,8
197.00,8
196.99,8
196.99,8
196.99,8
197.00,8.1
197.00,8.1
197.00,8.2
197.00,8.2
197.00,8.3
231.76,8.4
294.57,8.5
309.73,8.6
305.23,8.7
305.21,8.8
305.18,8.9
305.22,9
305.20,9.1
305.31,9.4
306.40,9.8
306.05,10.2
305.54,10.7
305.72,11.4
305.86,12
305.67,12.7
305.89,13.5
305.62,14.2
305.90,15
306.31,15.7
305.78,16.4
305.90,17
305.74,17.3
305.61,17.6
305.83,17.6
305.87,17.6
305.81,17.5
306.06,17.3
306.27,17.2
306.51,17
306.71,16.8
306.92,16.5
306.85,16.2
306.77,15.9
306.92,15.6
306.96,15.2
306.95,14.8
306.95,14.4
306.94,13.9
306.93,13.5
306.92,13.2
306.96,12.8
306.95,12.4
306.95,12.1
306.46,12.13
306.46,12.2
326.13,12.26
360.5,12.34
360.5,12.4
360.5,12.56
376.69,12.82
380.5,13.22
380.5,13.71
380.5,14.23
380.5,14.89
380.5,15.75
