te,sr,ev,ws,rl,sh,rel
9.9,11.4,2.8,4,7.6,5.7,87
9.5,14.1,1.8,4,27.8,4.7,85
8.8,14.6,3.3,4,64,4.2,84
7.9,12.6,1.4,4,158.7,4.9,82
7.5,12.4,1.4,4,360.8,4.8,86
6.8,11.9,1.7,3,265.4,2.7,86
5.6,7.2,1.9,3,375.3,2.1,88
5.3,9.2,2.9,4,281.7,1.3,88
7.1,10.2,3.2,3,359.3,3.1,90
7.9,11.9,3.3,3,431.7,3.2,88
8.6,12.5,2.2,3,212.1,4,84
11.2,13.4,3.7,2,38.3,5.1,79
11.9,12.3,4.1,3,36.3,4.2,84
10.1,12.9,3,3,126.6,3.9,85
10.3,13.1,3,3,173,4.1,82
8.3,13.1,1.7,3,230.4,4.3,88
7.9,11.6,1.9,3,448.5,3.6,87
6.3,9.5,1.5,4,436.3,2.1,89
5.6,8.2,1.4,3,353.5,1.5,89
6.9,10.7,1.5,3,364.1,2.4,88
7.1,12,1.8,2,269.5,3.7,86
9.8,11.7,3.2,2,54.2,5.2,78
11,13.2,3.8,2,70.3,5.5,78
12,15.9,4.5,3,49.3,5.9,78
9.8,12.5,3.4,3,168.8,4.3,82
9.8,12.9,2.9,3,86.4,5.8,82
8.1,13.4,2.4,3,186.7,4.4,84
7.3,10.4,1.9,3,378.7,4.6,86
5.8,8.1,1.2,3,339.4,2.7,91
5.5,8.1,1.2,4,234,1.7,89
6.7,10.2,1.9,4,349.4,2.6,88
8,12.3,1.6,3,227.9,4.4,87
9.1,14.5,3.3,2,56.8,5,85
10.8,14.7,3,2,26,6.5,83
11.2,14.5,5.9,3,29.8,4.2,77
8.1,15,3.3,3,220.8,5.5,81
7.9,14,2.2,2,226.8,4.3,85
7.1,12,1.7,2,229.4,2.8,87
6,9.1,1.4,3,182.7,1.3,89
5.5,9.4,1.2,3,129.5,0.8,90
6.4,12.6,1.3,4,453.6,2.3,88
7.2,14.7,1.5,3,262.4,2.3,87
8,14.4,1.9,3,73.4,4.5,85
9.1,13.5,2.3,3,8,5.6,83
11,15.1,3.8,4,35.9,3.5,80
10.4,14.9,3,4,107.6,2.6,82
10.8,15.1,2.8,4,76.4,4.6,83
8.7,13.5,2.2,4,408.6,4.4,85
8.9,11.5,2,4,348.5,2.9,87
7.5,7.9,1.3,4,494.8,2.2,89
7.4,9.4,1.6,5,159.8,7.8,87
8.1,9.6,1.6,4,387.6,1.7,89
7.9,11.2,1.9,4,135.6,2.3,87
8.8,14.5,2,3,172.8,3.3,86
12.1,16.9,2.3,3,34.9,2.8,76
10.2,15,3,3,28.1,1.8,87
10,13.8,3.8,4,73.8,2.5,80
8.8,14.4,2.3,4,280.3,2.9,84
8.3,12.2,2.3,4,279.1,4.1,85
7.1,12.8,1.8,4,227.8,4.1,87
7,9.9,1.5,4,223.7,2.4,90
7.1,9.6,1.3,4,494.6,2.6,91
6.9,11.2,1.8,4,348.9,2.6,88
11.3,12.8,1.9,2,161.5,2.5,86
8,15.4,2,3,83.9,2.9,85
10.2,12.7,4.1,4,4.8,1.8,74
11,13.6,3.8,4,34.8,4.5,82
10.5,14.6,3.4,4,87.7,4,85
9.5,13.4,2,4,97.3,3.9,84
9.3,14.6,2.9,4,121.4,4.8,81
9.8,14.3,2.4,4,258.3,5.5,86
7.8,12.6,1.9,4,168.7,4.2,85
5.6,11.5,1.1,6,365.4,2.7,90
6.3,9.6,1.5,5,340.8,2,88
6.1,10.3,1.6,4,285.4,2.8,87
8,12,1.6,3,263.2,3.4,86
8.1,15.9,2,3,110.6,4.5,84
11.9,13.4,3.6,4,5.4,4.6,83
11,16.7,3.5,4,167.6,4.3,83
9,12.5,2.6,4,224.1,4.5,86
9.9,14.7,2.6,4,90.5,5,82
8.2,12.8,2.3,5,206.9,4.9,82
8.2,10.3,2.1,4,285.7,4.3,83
7.1,10.2,1.6,4,448.3,1.5,87
5.9,9.7,1.3,5,511.1,2.2,87
7.2,11.7,1.6,4,410.5,2.2,88
7.3,13.2,1.5,4,297.4,3,88
8.8,11.6,2.1,3,59.6,3.2,83
10.9,14.4,3,3,16.8,1.6,77
10.9,14.9,4.2,3,70.3,1.4,72
10.9,16.8,4.2,5,49.3,1.5,80
3.7,14.5,3,5,168.8,0.7,83
9,14.8,2.4,4,86.4,1.3,83
8.7,15.6,2,4,186.7,4.3,83
7.9,13.4,1.6,4,124.9,4.7,87
6.6,10.1,1.6,5,404.9,3.7,87
6.3,11.3,1.6,5,331.4,2.3,87
6.5,9.8,1.4,4,362.5,4.6,88
