rgdp,rt,rtp,wt,at,ts,pcs
15258,222.11,9.46,5.74,18.66,4.48,4.06
14985.08,168.11,10.16,4.66,21.24,4.52,3.2
13849.73,132.24,9.21,7.21,22.53,4.25,2.89
13779.26,127.54,9.42,4.81,22.04,3.48,2.99
14953.91,163.51,6.91,4.09,22.68,3.33,3.04
15237.99,144.76,6.66,3.04,19.11,3.47,3.1
15263.93,146.5,4.93,2.85,19.3,3.51,3.14
16215.37,148.25,3.84,3.15,18.54,3.54,3.19
17294.68,151.22,2.83,2.73,17.36,3.59,3.23
19305.63,154.24,2.89,2.78,17.7,3.66,3.3
19199.06,160.41,2.28,2.79,17.97,3.72,2.68
19620.19,170.04,1.64,2.54,17.62,3.97,3.39
19927.99,178.54,1.3,2.87,14.73,4.37,3.49
19979.12,181.22,0.06,2.59,13.26,4.96,3.51
20353.2,183.03,0.04,2.72,13.45,5.76,3.58
21177.92,186.69,0.05,2.8,13.86,6.62,3.72
21789.1,192.29,0.05,2.87,14,7.61,3.93
22332.87,199.02,0.06,2.91,14.28,9.14,4.2
22449.41,204.99,0.06,2.96,14.63,10.97,4.52
23688.28,211.34,0.06,3.03,15.22,11.84,4.85
25267.54,220.43,0.07,3.1,15.83,13.03,5.24
28957.71,261.51,0.07,2.85,18.84,15.18,8.55
31709.45,264.6,0.07,2.84,20.23,15.18,7.85
35020.55,415.91,0.08,3.01,21.42,16.08,8.7
37474.95,442.53,0.08,3.18,22.66,17.03,9.65
39995.5,473.4,0.09,3.37,24.37,18.07,10.7
42922.41,506.58,0.09,3.58,26.21,19.18,11.86
46012.52,542.2,0.1,3.8,28.2,20.36,13.16
49856.1,579.68,0.1,4.01,30.44,21.48,14.51
54612.26,619.14,0.11,4.23,32.67,22.65,15.98
57511.04,637,0.12,3.81,51.89,26.96,16.45
59929.89,601.85,0.15,3.75,54.1,33.39,17.83
63218.72,616.13,0.16,3.92,59.14,39.14,19.6
67152.79,639.3,0.17,4.26,60.87,44.69,21.39
69023.93,667.81,0.18,4.62,63.12,47.11,22.62
67931.24,679.31,0.18,4.69,60.05,46.58,17.79
68490.98,712.17,0.18,4.75,61.16,46.68,14.92
127736.8278,2058.938266,0.343840373,9.858528056,149.3527018,89.00839545,20.86605617
144210.4921,2727.534615,0.359214985,10.12485585,198.618946,93.52531251,22.40683108
